Alpha,Gamma,Beta,TargetSteps,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,CompactnessNormalized,BranchingFactor,Temperature,Supersaturation,OriginalPerimeter
0.0057,0.040337,0.2138,1205,10981,10981,0.776747,10981.0,67.082,1200,9.1508,Faceted Crystal,,0.261805,1.7225,,,10981
0.0776,0.047997,0.651,263,3997,3997,0.735425,3997.0,41.5933,263,15.1977,Faceted Crystal,,0.223557,1.8137,,,3997
2.8725,0.002453,0.7687,1841,360000,360000,0.63662,360000.0,424.2641,1840,195.6522,Faceted Crystal,,0.196513,1.7999,,,360000
2.4969,0.002947,0.5802,1943,327013,327013,0.582161,327013.0,422.8499,1943,168.3031,Dendrite (Star),,0.001175,22.2625,,,327013
0.1551,0.016881,0.1936,1654,4561,4561,0.725906,4561.0,44.7214,1652,2.7609,Faceted Crystal,,0.210343,1.8577,,,4561
0.3196,0.028701,0.2112,750,2965,2965,0.737335,2965.0,35.7771,750,3.9533,Faceted Crystal,,0.183996,2.0018,,,2965
0.0081,0.001052,0.4028,499,7,7,1.114084,7.0,1.4142,342,0.0205,No Growth,,0.271496,2.0257,,,7
0.3445,0.009902,0.2394,1396,2125,2125,0.63453,2125.0,32.6497,1395,1.5233,Faceted Crystal,,0.131869,2.1936,,,2125
0.2702,0.000884,0.3336,767,133,133,0.399389,133.0,10.2956,730,0.1822,Hybrid / Transition,,0.04831,2.8753,,,133
0.0256,0.001025,0.4025,544,13,13,0.827606,13.0,2.2361,448,0.029,No Growth,,0.092609,2.9894,,,13
0.3083,0.000908,0.4724,757,523,523,0.332952,523.0,22.3607,757,0.6909,Hybrid / Transition,,0.023048,3.8008,,,523
0.0074,0.000111,0.3208,622,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.337,0.044502,0.4325,451,6229,6229,0.634481,6229.0,55.9017,451,13.8115,Faceted Crystal,,0.153544,2.0328,,,6229
0.0107,9.7e-05,0.3813,522,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.2937,0.001127,0.4497,405,151,151,0.384518,151.0,11.1803,395,0.3823,Hybrid / Transition,,0.043028,2.9894,,,151
0.5504,0.014024,0.4306,298,757,757,0.522691,757.0,21.4709,298,2.5403,Hybrid / Transition,,0.087353,2.4462,,,757
0.0239,0.001091,0.4181,785,25,25,0.612134,25.0,3.6056,684,0.0365,No Growth,,0.107736,2.3836,,,25
0.0289,0.035299,0.5321,835,11977,11977,0.744609,11977.0,71.5542,835,14.3437,Faceted Crystal,,0.229397,1.8016,,,11977
0.0067,0.000112,0.3055,691,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.0547,0.024,0.9,1438,321191,321191,0.78403,321191.0,361.1108,1438,223.3595,Faceted Crystal,,0.250756,1.7682,,,321191
0.0474,0.024079,0.9,1289,285151,285151,0.761201,285151.0,345.3129,1289,221.2188,Faceted Crystal,,0.229896,1.8196,,,285151
0.2857,0.044429,0.6579,1223,138619,138619,0.592902,138619.0,272.8003,1223,113.3434,Hybrid / Transition,,0.133075,2.1108,,,138619
0.0118,0.00014,0.312,388,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.032,0.001059,0.4194,725,25,25,0.612134,25.0,3.6056,587,0.0426,No Growth,,0.107736,2.3836,,,25
0.0229,0.000894,0.3891,744,13,13,0.827606,13.0,2.2361,530,0.0245,No Growth,,0.092609,2.9894,,,13
4.5864,0.041819,0.5364,597,360000,360000,0.63662,360000.0,424.2641,573,628.2723,Faceted Crystal,,0.196513,1.7999,,,360000
2.6226,0.002656,0.745,2000,360000,360000,0.63662,360000.0,424.2641,1377,261.4379,Faceted Crystal,,0.196513,1.7999,,,360000
0.0168,0.013574,0.2269,1936,3649,3649,0.749847,3649.0,39.3573,1936,1.8848,Faceted Crystal,,0.239021,1.7712,,,3649
0.0113,0.000837,0.3257,460,7,7,1.114084,7.0,1.4142,432,0.0162,No Growth,,0.271496,2.0257,,,7
0.1082,0.001069,0.6775,1740,5029,5029,0.408362,5029.0,62.6099,1737,2.8952,Hybrid / Transition,,0.003377,10.9967,,,5029
0.0068,0.000868,0.3923,402,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.059,0.000722,0.7431,1725,3169,3169,0.394959,3169.0,50.5371,1724,1.8382,Hybrid / Transition,,0.002832,11.8098,,,3169
0.0918,8.2e-05,0.2802,507,13,13,0.827606,13.0,2.2361,456,0.0285,No Growth,,0.092609,2.9894,,,13
0.0234,0.037433,0.3852,299,1027,1027,0.807171,1027.0,20.1246,297,3.4579,Faceted Crystal,,0.261863,1.7557,,,1027
3.0702,0.003501,0.4862,1940,360000,360000,0.63662,360000.0,424.2641,1461,246.4066,Faceted Crystal,,0.196513,1.7999,,,360000
0.215,0.002582,0.3464,457,91,91,0.643693,91.0,6.7082,445,0.2045,Faceted Crystal,,0.087992,2.7047,,,91
0.009,0.000116,0.3481,441,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.1245,0.00011,0.4042,792,61,61,0.431487,61.0,6.7082,725,0.0841,Hybrid / Transition,,0.029209,3.8435,,,61
2.4248,0.002634,0.65,2000,359950,359950,0.636531,359950.0,424.2641,1997,180.2454,Faceted Crystal,,0.19357,1.8134,,,359950
0.0087,0.000112,0.3901,524,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.2816,0.014475,0.2094,1959,6013,6013,0.664582,6013.0,53.6656,1959,3.0694,Faceted Crystal,,0.148219,2.1175,,,6013
0.0044,0.01159,0.1541,1113,721,721,0.794123,721.0,17.0,1094,0.659,Faceted Crystal,,0.26189,1.7413,,,721
0.0275,9.8e-05,0.4117,700,13,13,0.827606,13.0,2.2361,675,0.0193,No Growth,,0.092609,2.9894,,,13
0.0059,0.018701,0.3629,1073,2977,2977,0.778643,2977.0,34.8855,1069,2.7848,Faceted Crystal,,0.261821,1.7245,,,2977
0.0855,7.8e-05,0.3831,476,19,19,0.465222,19.0,3.6056,461,0.0412,No Growth,,0.054812,2.9133,,,19
0.0323,0.000123,0.4643,459,13,13,0.827606,13.0,2.2361,440,0.0295,No Growth,,0.092609,2.9894,,,13
3.2624,0.002792,0.7404,2000,360000,360000,0.63662,360000.0,424.2641,1089,330.5785,Faceted Crystal,,0.196513,1.7999,,,360000
0.1947,0.03971,0.3126,1600,31165,31165,0.70631,31165.0,118.5116,1599,19.4903,Faceted Crystal,,0.203869,1.8613,,,31165
0.0081,0.04662,0.7761,299,10621,10621,0.771689,10621.0,66.1891,295,36.0034,Faceted Crystal,,0.261806,1.7168,,,10621
3.0534,0.003035,0.7307,2000,360000,360000,0.63662,360000.0,424.2641,1288,279.5031,Faceted Crystal,,0.196513,1.7999,,,360000
2.8752,0.003849,0.5241,1938,360000,360000,0.63662,360000.0,424.2641,1916,187.8914,Faceted Crystal,,0.196513,1.7999,,,360000
0.1042,7.7e-05,0.4762,680,67,67,0.328104,67.0,8.0623,676,0.0991,Hybrid / Transition,,0.024337,3.6718,,,67
2.8405,0.002367,0.6512,1905,359336,359336,0.637567,359336.0,423.5576,1905,188.6278,Faceted Crystal,,0.07616,2.8933,,,359336
0.0088,0.001054,0.3118,439,7,7,1.114084,7.0,1.4142,426,0.0164,No Growth,,0.271496,2.0257,,,7
3.6754,0.04324,0.5003,506,360000,360000,0.63662,360000.0,424.2641,488,737.7049,Faceted Crystal,,0.196513,1.7999,,,360000
0.0124,0.033652,0.1688,1447,9919,9919,0.77196,9919.0,63.9531,1425,6.9607,Faceted Crystal,,0.261806,1.7171,,,9919
0.0319,0.026697,0.6248,1995,68077,68077,0.738618,68077.0,171.2834,1995,34.1238,Faceted Crystal,,0.201985,1.9123,,,68077
0.0444,0.025776,0.9,1240,282155,282155,0.776927,282155.0,340.0,1240,227.5444,Faceted Crystal,,0.261251,1.7245,,,282155
3.0735,0.003822,0.4847,1897,360000,360000,0.63662,360000.0,424.2641,1241,290.0886,Faceted Crystal,,0.196513,1.7999,,,360000
0.0305,0.000101,0.3797,777,13,13,0.827606,13.0,2.2361,721,0.018,No Growth,,0.092609,2.9894,,,13
0.0088,0.000144,0.2676,732,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.03,8.6e-05,0.383,753,13,13,0.827606,13.0,2.2361,727,0.0179,No Growth,,0.092609,2.9894,,,13
2.9775,0.003679,0.5728,1938,360000,360000,0.63662,360000.0,424.2641,1645,218.845,Faceted Crystal,,0.196513,1.7999,,,360000
2.4504,0.003169,0.7165,2000,360000,360000,0.63662,360000.0,424.2641,1740,206.8966,Faceted Crystal,,0.196513,1.7999,,,360000
0.0546,0.018751,0.4383,1383,7927,7927,0.713183,7927.0,59.4811,1383,5.7317,Faceted Crystal,,0.209228,1.8462,,,7927
0.0269,0.01279,0.1973,1872,2845,2845,0.744118,2845.0,34.8855,1870,1.5214,Faceted Crystal,,0.235051,1.7793,,,2845
0.3568,0.002863,0.3274,498,169,169,0.507494,169.0,10.2956,490,0.3449,Hybrid / Transition,,0.054171,3.0608,,,169
0.0197,0.011598,0.4321,277,121,121,0.8559,121.0,6.7082,272,0.4449,Faceted Crystal,,0.18772,2.1353,,,121
1.1936,0.007947,0.2858,848,2065,2065,0.454886,2065.0,38.0132,845,2.4438,Hybrid / Transition,,0.044691,3.1904,,,2065
0.0041,0.024763,0.2538,1846,11179,11179,0.760014,11179.0,68.4251,1846,6.0558,Faceted Crystal,,0.249741,1.7445,,,11179
0.3102,0.00278,0.3985,448,199,199,0.506749,199.0,11.1803,443,0.4492,Hybrid / Transition,,0.050741,3.1602,,,199
2.8398,0.002534,0.6384,2000,359838,359838,0.636333,359838.0,424.2641,1999,180.009,Faceted Crystal,,0.148617,2.0692,,,359838
0.0094,0.000177,0.3047,710,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
2.8041,0.003017,0.6594,2000,359995,359995,0.636611,359995.0,424.2641,1987,181.1751,Faceted Crystal,,0.196511,1.7999,,,359995
0.027,8.4e-05,0.3842,795,7,7,1.114084,7.0,1.4142,321,0.0218,No Growth,,0.271496,2.0257,,,7
0.1329,0.037648,0.2838,1145,12865,12865,0.725431,12865.0,75.1332,1145,11.2358,Faceted Crystal,,0.207818,1.8683,,,12865
0.0122,0.001187,0.3267,764,13,13,0.827606,13.0,2.2361,727,0.0179,No Growth,,0.092609,2.9894,,,13
0.0365,0.049491,0.4496,1016,24505,24505,0.737257,24505.0,102.8591,1016,24.1191,Faceted Crystal,,0.22964,1.7918,,,24505
