Alpha,Gamma,Beta,TargetSteps,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,CompactnessNormalized,BranchingFactor,Temperature,Supersaturation,OriginalPerimeter
0.0077,0.032265,0.7711,839,40273,40273,0.721766,40273.0,133.2704,839,48.0012,Faceted Crystal,,0.216193,1.8272,,,40273
2.8305,0.00294,0.7048,1835,360000,360000,0.63662,360000.0,424.2641,1656,217.3913,Faceted Crystal,,0.196513,1.7999,,,360000
0.027,0.000115,0.4451,769,13,13,0.827606,13.0,2.2361,575,0.0226,No Growth,,0.092609,2.9894,,,13
0.3542,0.001277,0.4341,467,235,235,0.415571,235.0,13.4164,447,0.5257,Hybrid / Transition,,0.037135,3.3453,,,235
0.3869,0.000119,0.368,510,115,115,0.345336,115.0,10.2956,495,0.2323,Hybrid / Transition,,0.026392,3.6173,,,115
0.3451,0.001359,0.3382,689,199,199,0.506749,199.0,11.1803,684,0.2909,Hybrid / Transition,,0.04567,3.331,,,199
2.8101,0.02886,0.6108,185,15433,15433,0.452429,15433.0,104.2017,185,83.4216,Hybrid / Transition,,0.007369,7.8354,,,15433
0.0084,0.000102,0.4741,512,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.3878,0.001112,0.4129,400,151,151,0.384518,151.0,11.1803,376,0.4016,Hybrid / Transition,,0.043028,2.9894,,,151
0.2595,0.000504,0.5359,242,97,97,0.385951,97.0,8.9443,231,0.4199,Hybrid / Transition,,0.02764,3.7368,,,97
0.2933,0.001744,0.4234,663,319,319,0.414452,319.0,15.6525,660,0.4833,Hybrid / Transition,,0.039641,3.2334,,,319
0.0062,0.038937,0.1005,466,1141,1141,0.787834,1141.0,21.4709,456,2.5022,Faceted Crystal,,0.261857,1.7345,,,1141
0.0026,0.039016,0.6002,635,9919,9919,0.77196,9919.0,63.9531,627,15.8198,Faceted Crystal,,0.261806,1.7171,,,9919
0.0268,0.001234,0.4405,463,13,13,0.827606,13.0,2.2361,351,0.037,No Growth,,0.092609,2.9894,,,13
1.2853,9.3e-05,0.6526,1446,73934,73934,0.183847,73934.0,357.7821,1446,51.13,Dendrite (Star),,2.8e-05,80.9151,,,73934
1.4786,9.4e-05,0.6164,1341,89006,89006,0.238412,89006.0,344.7231,1341,66.3729,Dendrite (Star),,2.6e-05,94.8559,,,89006
0.476,0.000112,0.4155,474,199,199,0.290567,199.0,14.7648,458,0.4345,Sparse Dendrite,,0.019955,3.8159,,,199
0.1261,8.2e-05,0.3838,527,25,25,0.397887,25.0,4.4721,462,0.0541,No Growth,,0.038785,3.2029,,,25
0.0133,0.000995,0.2864,720,7,7,1.114084,7.0,1.4142,413,0.0169,No Growth,,0.271496,2.0257,,,7
1.2286,0.042343,0.8669,1156,360000,360000,0.63662,360000.0,424.2641,626,575.0799,Faceted Crystal,,0.196513,1.7999,,,360000
0.9371,0.006878,0.5066,546,4759,4759,0.397699,4759.0,61.7171,545,8.7321,Hybrid / Transition,,0.00824,6.9472,,,4759
0.1075,0.013159,0.3579,1063,2275,2275,0.67932,2275.0,32.6497,1063,2.1402,Faceted Crystal,,0.176905,1.9596,,,2275
0.0387,0.00094,0.3678,476,13,13,0.827606,13.0,2.2361,412,0.0316,No Growth,,0.092609,2.9894,,,13
0.2826,0.002532,0.3925,415,139,139,0.553063,139.0,8.9443,414,0.3357,Hybrid / Transition,,0.050489,3.3097,,,139
0.1059,0.000103,0.3869,401,19,19,0.465222,19.0,3.6056,364,0.0522,No Growth,,0.054812,2.9133,,,19
0.0128,0.000129,0.2406,423,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.3206,0.001856,0.3829,783,355,355,0.391003,355.0,17.0,783,0.4534,Hybrid / Transition,,0.040965,3.0895,,,355
0.0113,8.4e-05,0.3906,523,1,1,1000000.0,1.0,0.0,1,1.0,No Growth,,0.349066,6000000.0,,,1
0.337,0.001901,0.4267,528,289,289,0.42198,289.0,14.7648,523,0.5526,Hybrid / Transition,,0.042016,3.1691,,,289
0.0733,9.6e-05,0.351,472,13,13,0.827606,13.0,2.2361,368,0.0353,No Growth,,0.092609,2.9894,,,13
0.0548,0.048764,0.8799,663,147187,147187,0.766016,147187.0,247.3095,662,222.3369,Faceted Crystal,,0.2618,1.7105,,,147187
2.0051,0.002605,0.7062,2000,351956,351956,0.622395,351956.0,424.2641,2000,175.978,Faceted Crystal,,0.010801,7.5912,,,351956
0.254,0.001914,0.3823,458,115,115,0.45757,115.0,8.9443,445,0.2584,Hybrid / Transition,,0.055065,2.8826,,,115
0.0356,0.032891,0.4207,1085,11905,11905,0.758958,11905.0,70.6612,1085,10.9724,Faceted Crystal,,0.249722,1.7433,,,11905
0.3586,0.000914,0.4466,699,451,451,0.354464,451.0,20.1246,697,0.6471,Hybrid / Transition,,0.022852,3.9384,,,451
0.0019,0.006062,0.4653,1413,817,817,0.812685,817.0,17.8885,1407,0.5807,Faceted Crystal,,0.26188,1.7616,,,817
2.8475,0.002639,0.7344,1765,360000,360000,0.63662,360000.0,424.2641,1449,248.4472,Faceted Crystal,,0.196513,1.7999,,,360000
0.0225,9.3e-05,0.4181,733,7,7,1.114084,7.0,1.4142,320,0.0219,No Growth,,0.271496,2.0257,,,7
2.2477,0.002747,0.6592,2000,359977,359977,0.636579,359977.0,424.2641,1985,181.3486,Faceted Crystal,,0.194227,1.8104,,,359977
1.2881,0.008558,0.601,1157,83095,83095,0.393133,83095.0,259.3839,1157,71.8194,Hybrid / Transition,,0.002933,11.5784,,,83095
2.6423,0.002248,0.6719,1908,358454,358454,0.636002,358454.0,423.5576,1908,187.869,Faceted Crystal,,0.048979,3.6035,,,358454
0.0025,0.015631,0.1736,780,631,631,0.81981,631.0,15.6525,742,0.8504,Faceted Crystal,,0.261903,1.7692,,,631
0.0269,0.000115,0.4091,512,7,7,1.114084,7.0,1.4142,279,0.0251,No Growth,,0.271496,2.0257,,,7
0.2567,0.001174,0.4071,714,247,247,0.436792,247.0,13.4164,704,0.3509,Hybrid / Transition,,0.042577,3.2029,,,247
2.465,0.003581,0.7006,1950,360000,360000,0.63662,360000.0,424.2641,1943,185.2805,Faceted Crystal,,0.196513,1.7999,,,360000
0.0483,0.05,0.9,838,356255,356255,0.698699,356255.0,402.866,838,425.1253,Faceted Crystal,,0.214921,1.803,,,356255
