Alpha,Gamma,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,Temperature,Supersaturation,OriginalPerimeter,CompactnessNormalized,BranchingFactor
1.5,0.0073,162407,7772,0.46570653290664976,371.92968283157785,333.17412864746865,3581,45.35241552638928,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.365,162407,0.03378695273421363,3.712629855567644
1.5,0.0064,137471,7939,0.3942018680550103,458.48012307716914,333.17412864746865,3585,38.34616457461646,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.32,137471,0.027408757723074623,3.7924045835501192
1.5,0.0055,174309,10311,0.49983584478763365,609.9324819681718,333.17412864746865,3876,44.97136222910217,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.2749999999999999,174309,0.020602888001204557,4.925492336690424
1.5,0.0046,140953,9963,0.40418659868596185,704.2160791135753,333.17412864746865,3884,36.29067971163749,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.2299999999999999,140953,0.017844481242302337,4.7592551789784405
1.5,0.0037,108423,9683,0.3109059302698633,864.7656770162719,333.17412864746865,3892,27.857913669064747,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.185,108423,0.014531532585337199,4.625501144037763
1.5,0.0028,72801,4773,0.20875886693391918,312.92879218262215,333.17412864746865,4190,17.37494033412888,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.1399999999999999,72801,0.04015728475011146,2.280028602756609
1.5,0.0019,97871,12669,0.28064778046578487,1639.9501486483234,333.17412864746865,4196,23.324833174451857,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.095,97871,0.007662654029202124,6.0518923880836955
1.5,0.001,68839,13445,0.19739772312006787,2625.9536744777533,333.17412864746865,4211,16.347423414865826,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.05,68839,0.004785450229496429,6.422582142062143
1.5,0.0001,34403,23241,0.09864710399378028,15700.493590218863,333.1816321467917,4516,7.618024800708592,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.005,34403,0.0008003806085321109,11.101812566312713
1.2,0.01,160113,4985,0.45912842490337497,155.2042932169455,333.17412864746865,3875,41.319483870967744,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.5,160113,0.0809666430857994,2.3812995149259786
1.2,0.0091,180289,6221,0.5169836590245924,214.66002362753878,333.17412864746865,3879,46.47821603506058,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.455,180289,0.058540805138889415,2.9717280405926805
1.2,0.0082,160031,5740,0.4588932876512963,205.88261024297864,333.17412864746865,4171,38.36753776072885,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.41,160031,0.061036580988795906,2.741957716283875
1.2,0.0073,116609,4170,0.33437951009323197,149.12142287345642,333.17412864746865,4176,27.92361111111111,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.365,116609,0.08426938512325245,1.9919797346522228
1.2,0.0064,178591,7699,0.5121145973900847,331.90138920588436,333.17412864746865,4464,40.00694444444444,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.32,178591,0.03786175961587631,3.6777582678866816
1.2,0.0055,112311,4525,0.3220548770513509,182.31183944420127,333.17412864746865,4476,25.091823056300267,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.2749999999999999,112311,0.06892789109339638,2.161560743237724
1.2,0.0046,100589,3826,0.2884417201139544,145.52561413131133,333.17412864746865,4485,22.42787068004459,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.2299999999999999,100589,0.08635160682362379,1.8276533488679627
1.2,0.0037,119781,8122,0.3434753072102275,550.7291139617241,333.17412864746865,4778,25.069275847634994,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.185,119781,0.02281769802191253,3.87982239924349
1.2,0.0028,121837,10794,0.34937094367698124,956.2812281904818,333.17412864746865,5076,24.00256107171001,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.1399999999999999,121837,0.013140873462542578,5.156218046963092
1.2,0.0019,73351,6010,0.2103360070393251,492.4281877480549,333.17412864746865,5091,14.407974857591828,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.095,73351,0.025519194324872693,2.870934821405242
1.2,0.001,85935,15909,0.24642097265101226,2945.206039414148,333.17412864746865,5396,15.925685693106004,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.05,85935,0.0042667203740735776,7.599617649540098
1.2,0.0001,36167,20904,0.10370986580402816,12082.20797931589,333.17412864746865,5701,6.343974741273461,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.8,0.005,36167,0.001040072363886192,9.985694094285387
1.0,0.01,185265,5055,0.5312524756873194,137.92688851030724,333.17412864746865,4462,41.52061855670103,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.5,185265,0.09110892553304983,2.4147380236611475
1.0,0.0091,169365,4875,0.4856587890037667,140.32193782575902,333.17412864746865,4470,37.88926174496644,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.455,169365,0.08955385600424359,2.3287532869135696
1.0,0.0082,199881,6166,0.5731642571066152,190.2109555175819,333.17412864746865,4762,41.97417051658967,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.41,199881,0.06606544076339713,2.9454549265864762
