Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,2.5,0.0001,-20.0,0.005,1,0.0,1,1,0.0,1
2,2.5,0.0001,-20.0,0.005,1,0.0,1,0,0.0,0
3,2.5,0.0001,-20.0,0.005,1,0.0,1,0,0.0,0
4,2.5,0.0001,-20.0,0.005,7,1.4142135623730951,6,6,1.4142135623730951,5
5,2.5,0.0001,-20.0,0.005,7,1.4142135623730951,6,0,0.0,0
6,2.5,0.0001,-20.0,0.005,7,1.4142135623730951,6,0,0.0,0
7,2.5,0.0001,-20.0,0.005,7,1.4142135623730951,6,0,0.0,0
8,2.5,0.0001,-20.0,0.005,7,1.4142135623730951,6,0,0.0,0
9,2.5,0.0001,-20.0,0.005,7,1.4142135623730951,6,0,0.0,0
10,2.5,0.0001,-20.0,0.005,13,2.23606797749979,11,6,0.8218544151266947,5
11,2.5,0.0001,-20.0,0.005,13,2.23606797749979,11,0,0.0,0
12,2.5,0.0001,-20.0,0.005,13,2.23606797749979,11,0,0.0,0
13,2.5,0.0001,-20.0,0.005,13,2.23606797749979,11,0,0.0,0
14,2.5,0.0001,-20.0,0.005,13,2.23606797749979,11,0,0.0,0
15,2.5,0.0001,-20.0,0.005,13,2.23606797749979,11,0,0.0,0
16,2.5,0.0001,-20.0,0.005,13,2.23606797749979,11,0,0.0,0
17,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,6,1.3694832979641993,6
18,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,0,0.0,0
19,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,0,0.0,0
20,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,0,0.0,0
21,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,0,0.0,0
22,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,0,0.0,0
23,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,0,0.0,0
24,2.5,0.0001,-20.0,0.005,19,3.605551275463989,17,0,0.0,0
25,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,6,0.8665846795355905,6
26,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,0,0.0,0
27,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,0,0.0,0
28,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,0,0.0,0
29,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,0,0.0,0
30,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,0,0.0,0
31,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,0,0.0,0
32,2.5,0.0001,-20.0,0.005,25,4.47213595499958,23,0,0.0,0
33,2.5,0.0001,-20.0,0.005,31,5.830951894845301,29,6,1.3588159398457211,6
34,2.5,0.0001,-20.0,0.005,31,5.830951894845301,29,0,0.0,0
35,2.5,0.0001,-20.0,0.005,31,5.830951894845301,29,0,0.0,0
36,2.5,0.0001,-20.0,0.005,43,5.830951894845301,39,12,0.0,10
37,2.5,0.0001,-20.0,0.005,43,5.830951894845301,39,0,0.0,0
38,2.5,0.0001,-20.0,0.005,43,5.830951894845301,39,0,0.0,0
39,2.5,0.0001,-20.0,0.005,43,5.830951894845301,39,0,0.0,0
40,2.5,0.0001,-20.0,0.005,43,5.830951894845301,39,0,0.0,0
41,2.5,0.0001,-20.0,0.005,49,6.708203932499369,45,6,0.8772520376540687,6
42,2.5,0.0001,-20.0,0.005,49,6.708203932499369,45,0,0.0,0
43,2.5,0.0001,-20.0,0.005,49,6.708203932499369,45,0,0.0,0
44,2.5,0.0001,-20.0,0.005,49,6.708203932499369,45,0,0.0,0
45,2.5,0.0001,-20.0,0.005,61,6.708203932499369,51,12,0.0,6
46,2.5,0.0001,-20.0,0.005,61,6.708203932499369,51,0,0.0,0
47,2.5,0.0001,-20.0,0.005,61,6.708203932499369,51,0,0.0,0
48,2.5,0.0001,-20.0,0.005,61,6.708203932499369,51,0,0.0,0
49,2.5,0.0001,-20.0,0.005,61,6.708203932499369,51,0,0.0,0
50,2.5,0.0001,-20.0,0.005,67,8.06225774829855,57,6,1.3540538157991797,6
51,2.5,0.0001,-20.0,0.005,67,8.06225774829855,57,0,0.0,0
52,2.5,0.0001,-20.0,0.005,79,8.06225774829855,63,12,0.0,6
53,2.5,0.0001,-20.0,0.005,79,8.06225774829855,63,0,0.0,0
54,2.5,0.0001,-20.0,0.005,79,8.06225774829855,63,0,0.0,0
55,2.5,0.0001,-20.0,0.005,79,8.06225774829855,63,0,0.0,0
56,2.5,0.0001,-20.0,0.005,79,8.06225774829855,63,0,0.0,0
57,2.5,0.0001,-20.0,0.005,79,8.06225774829855,63,0,0.0,0
58,2.5,0.0001,-20.0,0.005,91,8.06225774829855,70,12,0.0,7
59,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,6,0.8820141617006101,5
60,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
61,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
62,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
63,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
64,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
65,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
66,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
67,2.5,0.0001,-20.0,0.005,97,8.94427190999916,75,0,0.0,0
68,2.5,0.0001,-20.0,0.005,103,10.295630140987,81,6,1.3513582309878416,6
69,2.5,0.0001,-20.0,0.005,103,10.295630140987,81,0,0.0,0
70,2.5,0.0001,-20.0,0.005,103,10.295630140987,81,0,0.0,0
71,2.5,0.0001,-20.0,0.005,103,10.295630140987,81,0,0.0,0
72,2.5,0.0001,-20.0,0.005,115,10.295630140987,87,12,0.0,6
73,2.5,0.0001,-20.0,0.005,115,10.295630140987,87,0,0.0,0
74,2.5,0.0001,-20.0,0.005,115,10.295630140987,87,0,0.0,0
75,2.5,0.0001,-20.0,0.005,115,10.295630140987,87,0,0.0,0
76,2.5,0.0001,-20.0,0.005,115,10.295630140987,87,0,0.0,0
77,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,18,0.8847097465119482,12
78,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
79,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
80,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
81,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
82,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
83,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
84,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
85,2.5,0.0001,-20.0,0.005,133,11.180339887498949,99,0,0.0,0
86,2.5,0.0001,-20.0,0.005,139,12.529964086141668,105,6,1.3496241986427187,6
87,2.5,0.0001,-20.0,0.005,139,12.529964086141668,105,0,0.0,0
88,2.5,0.0001,-20.0,0.005,151,12.529964086141668,109,12,0.0,4
89,2.5,0.0001,-20.0,0.005,163,12.529964086141668,115,12,0.0,6
90,2.5,0.0001,-20.0,0.005,163,12.529964086141668,115,0,0.0,0
91,2.5,0.0001,-20.0,0.005,163,12.529964086141668,115,0,0.0,0
92,2.5,0.0001,-20.0,0.005,163,12.529964086141668,115,0,0.0,0
93,2.5,0.0001,-20.0,0.005,163,12.529964086141668,115,0,0.0,0
94,2.5,0.0001,-20.0,0.005,163,12.529964086141668,115,0,0.0,0
95,2.5,0.0001,-20.0,0.005,169,13.416407864998739,121,6,0.8864437788570712,6
96,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,12,0.0,6
97,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,0,0.0,0
98,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,0,0.0,0
99,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,0,0.0,0
100,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,0,0.0,0
101,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,0,0.0,0
102,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,0,0.0,0
103,2.5,0.0001,-20.0,0.005,181,13.416407864998739,127,0,0.0,0
104,2.5,0.0001,-20.0,0.005,187,14.7648230602334,133,6,1.3484151952346615,6
105,2.5,0.0001,-20.0,0.005,187,14.7648230602334,133,0,0.0,0
106,2.5,0.0001,-20.0,0.005,199,14.7648230602334,139,12,0.0,6
107,2.5,0.0001,-20.0,0.005,211,14.7648230602334,143,12,0.0,4
108,2.5,0.0001,-20.0,0.005,211,14.7648230602334,143,0,0.0,0
109,2.5,0.0001,-20.0,0.005,211,14.7648230602334,143,0,0.0,0
110,2.5,0.0001,-20.0,0.005,211,14.7648230602334,143,0,0.0,0
111,2.5,0.0001,-20.0,0.005,211,14.7648230602334,143,0,0.0,0
112,2.5,0.0001,-20.0,0.005,211,14.7648230602334,143,0,0.0,0
113,2.5,0.0001,-20.0,0.005,217,15.652475842498529,149,6,0.8876527822651283,6
114,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,12,0.0,6
115,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,0,0.0,0
116,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,0,0.0,0
117,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,0,0.0,0
118,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,0,0.0,0
119,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,0,0.0,0
120,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,0,0.0,0
121,2.5,0.0001,-20.0,0.005,229,15.652475842498529,155,0,0.0,0
122,2.5,0.0001,-20.0,0.005,235,17.0,161,6,1.3475241575014714,6
123,2.5,0.0001,-20.0,0.005,235,17.0,161,0,0.0,0
124,2.5,0.0001,-20.0,0.005,247,17.0,167,12,0.0,6
125,2.5,0.0001,-20.0,0.005,247,17.0,167,0,0.0,0
126,2.5,0.0001,-20.0,0.005,247,17.0,167,0,0.0,0
127,2.5,0.0001,-20.0,0.005,259,17.0,171,12,0.0,4
128,2.5,0.0001,-20.0,0.005,259,17.0,171,0,0.0,0
129,2.5,0.0001,-20.0,0.005,259,17.0,171,0,0.0,0
130,2.5,0.0001,-20.0,0.005,259,17.0,171,0,0.0,0
131,2.5,0.0001,-20.0,0.005,265,17.88854381999832,177,6,0.8885438199983184,6
132,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,12,0.0,6
133,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,0,0.0,0
134,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,0,0.0,0
135,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,0,0.0,0
136,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,0,0.0,0
137,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,0,0.0,0
138,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,0,0.0,0
139,2.5,0.0001,-20.0,0.005,277,17.88854381999832,183,0,0.0,0
140,2.5,0.0001,-20.0,0.005,283,19.235384061671343,189,6,1.346840241673025,6
141,2.5,0.0001,-20.0,0.005,283,19.235384061671343,189,0,0.0,0
142,2.5,0.0001,-20.0,0.005,295,19.235384061671343,195,12,0.0,6
143,2.5,0.0001,-20.0,0.005,307,19.235384061671343,199,12,0.0,4
144,2.5,0.0001,-20.0,0.005,307,19.235384061671343,199,0,0.0,0
145,2.5,0.0001,-20.0,0.005,307,19.235384061671343,199,0,0.0,0
146,2.5,0.0001,-20.0,0.005,307,19.235384061671343,199,0,0.0,0
147,2.5,0.0001,-20.0,0.005,307,19.235384061671343,199,0,0.0,0
148,2.5,0.0001,-20.0,0.005,307,19.235384061671343,199,0,0.0,0
149,2.5,0.0001,-20.0,0.005,313,20.12461179749811,205,6,0.8892277358267648,6
150,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,12,0.0,6
151,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,0,0.0,0
152,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,0,0.0,0
153,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,0,0.0,0
154,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,0,0.0,0
155,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,0,0.0,0
156,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,0,0.0,0
157,2.5,0.0001,-20.0,0.005,325,20.12461179749811,211,0,0.0,0
158,2.5,0.0001,-20.0,0.005,331,21.470910553583888,217,6,1.3462987560857798,6
159,2.5,0.0001,-20.0,0.005,331,21.470910553583888,217,0,0.0,0
160,2.5,0.0001,-20.0,0.005,355,21.470910553583888,227,24,0.0,10
161,2.5,0.0001,-20.0,0.005,355,21.470910553583888,227,0,0.0,0
162,2.5,0.0001,-20.0,0.005,355,21.470910553583888,227,0,0.0,0
163,2.5,0.0001,-20.0,0.005,355,21.470910553583888,227,0,0.0,0
164,2.5,0.0001,-20.0,0.005,355,21.470910553583888,227,0,0.0,0
165,2.5,0.0001,-20.0,0.005,355,21.470910553583888,227,0,0.0,0
166,2.5,0.0001,-20.0,0.005,355,21.470910553583888,227,0,0.0,0
167,2.5,0.0001,-20.0,0.005,361,22.360679774997898,233,6,0.88976922141401,6
168,2.5,0.0001,-20.0,0.005,373,22.360679774997898,239,12,0.0,6
169,2.5,0.0001,-20.0,0.005,373,22.360679774997898,239,0,0.0,0
170,2.5,0.0001,-20.0,0.005,373,22.360679774997898,239,0,0.0,0
171,2.5,0.0001,-20.0,0.005,373,22.360679774997898,239,0,0.0,0
172,2.5,0.0001,-20.0,0.005,385,22.360679774997898,251,12,0.0,12
173,2.5,0.0001,-20.0,0.005,385,22.360679774997898,251,0,0.0,0
