Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,1.5,0.0073,-16.0,0.365,1,0.0,1,1,0.0,1
2,1.5,0.0073,-16.0,0.365,1,0.0,1,0,0.0,0
3,1.5,0.0073,-16.0,0.365,1,0.0,1,0,0.0,0
4,1.5,0.0073,-16.0,0.365,1,0.0,1,0,0.0,0
5,1.5,0.0073,-16.0,0.365,1,0.0,1,0,0.0,0
6,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,6,1.4142135623730951,5
7,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,0,0.0,0
8,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,0,0.0,0
9,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,0,0.0,0
10,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,0,0.0,0
11,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,0,0.0,0
12,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,0,0.0,0
13,1.5,0.0073,-16.0,0.365,7,1.4142135623730951,6,0,0.0,0
14,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,6,0.8218544151266947,5
15,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
16,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
17,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
18,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
19,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
20,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
21,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
22,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
23,1.5,0.0073,-16.0,0.365,13,2.23606797749979,11,0,0.0,0
