Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,1.8,0.0073,-17.2,0.365,1,0.0,1,1,0.0,1
2,1.8,0.0073,-17.2,0.365,1,0.0,1,0,0.0,0
3,1.8,0.0073,-17.2,0.365,1,0.0,1,0,0.0,0
4,1.8,0.0073,-17.2,0.365,1,0.0,1,0,0.0,0
5,1.8,0.0073,-17.2,0.365,7,1.4142135623730951,6,6,1.4142135623730951,5
6,1.8,0.0073,-17.2,0.365,7,1.4142135623730951,6,0,0.0,0
7,1.8,0.0073,-17.2,0.365,7,1.4142135623730951,6,0,0.0,0
8,1.8,0.0073,-17.2,0.365,7,1.4142135623730951,6,0,0.0,0
9,1.8,0.0073,-17.2,0.365,7,1.4142135623730951,6,0,0.0,0
10,1.8,0.0073,-17.2,0.365,7,1.4142135623730951,6,0,0.0,0
11,1.8,0.0073,-17.2,0.365,7,1.4142135623730951,6,0,0.0,0
12,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,6,0.8218544151266947,5
13,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,0,0.0,0
14,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,0,0.0,0
15,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,0,0.0,0
16,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,0,0.0,0
17,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,0,0.0,0
18,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,0,0.0,0
19,1.8,0.0073,-17.2,0.365,13,2.23606797749979,11,0,0.0,0
20,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,6,1.3694832979641993,6
21,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
22,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
23,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
24,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
25,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
26,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
27,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
28,1.8,0.0073,-17.2,0.365,19,3.605551275463989,17,0,0.0,0
29,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,6,0.8665846795355905,6
30,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
31,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
32,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
33,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
34,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
35,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
36,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
37,1.8,0.0073,-17.2,0.365,25,4.47213595499958,23,0,0.0,0
38,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,18,1.3588159398457211,16
39,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
40,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
41,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
42,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
43,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
44,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
45,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
46,1.8,0.0073,-17.2,0.365,43,5.830951894845301,39,0,0.0,0
47,1.8,0.0073,-17.2,0.365,55,5.830951894845301,43,12,0.0,4
48,1.8,0.0073,-17.2,0.365,61,6.708203932499369,49,6,0.8772520376540687,6
49,1.8,0.0073,-17.2,0.365,73,6.708203932499369,55,12,0.0,6
50,1.8,0.0073,-17.2,0.365,73,6.708203932499369,55,0,0.0,0
51,1.8,0.0073,-17.2,0.365,73,6.708203932499369,55,0,0.0,0
52,1.8,0.0073,-17.2,0.365,73,6.708203932499369,55,0,0.0,0
53,1.8,0.0073,-17.2,0.365,79,6.708203932499369,43,6,0.0,-12
54,1.8,0.0073,-17.2,0.365,79,6.708203932499369,43,0,0.0,0
55,1.8,0.0073,-17.2,0.365,79,6.708203932499369,43,0,0.0,0
56,1.8,0.0073,-17.2,0.365,91,6.708203932499369,50,12,0.0,7
57,1.8,0.0073,-17.2,0.365,91,6.708203932499369,50,0,0.0,0
58,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,6,1.3540538157991797,5
59,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
60,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
61,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
62,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
63,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
64,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
65,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
66,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
67,1.8,0.0073,-17.2,0.365,97,8.06225774829855,55,0,0.0,0
68,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,18,0.8820141617006101,12
69,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
70,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
71,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
72,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
73,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
74,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
75,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
76,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
77,1.8,0.0073,-17.2,0.365,115,8.94427190999916,67,0,0.0,0
78,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,18,1.3513582309878416,12
79,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,0,0.0,0
80,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,0,0.0,0
81,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,0,0.0,0
82,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,0,0.0,0
83,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,0,0.0,0
84,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,0,0.0,0
85,1.8,0.0073,-17.2,0.365,133,10.295630140987,79,0,0.0,0
86,1.8,0.0073,-17.2,0.365,145,10.295630140987,83,12,0.0,4
87,1.8,0.0073,-17.2,0.365,157,10.295630140987,90,12,0.0,7
88,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,6,0.8847097465119482,5
89,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
90,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
91,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
92,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
93,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
94,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
95,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
96,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
97,1.8,0.0073,-17.2,0.365,163,11.180339887498949,95,0,0.0,0
98,1.8,0.0073,-17.2,0.365,181,12.529964086141668,107,18,1.3496241986427187,12
99,1.8,0.0073,-17.2,0.365,181,12.529964086141668,107,0,0.0,0
100,1.8,0.0073,-17.2,0.365,181,12.529964086141668,107,0,0.0,0
101,1.8,0.0073,-17.2,0.365,181,12.529964086141668,107,0,0.0,0
102,1.8,0.0073,-17.2,0.365,181,12.529964086141668,107,0,0.0,0
103,1.8,0.0073,-17.2,0.365,181,12.529964086141668,107,0,0.0,0
104,1.8,0.0073,-17.2,0.365,193,12.529964086141668,107,12,0.0,0
105,1.8,0.0073,-17.2,0.365,193,12.529964086141668,107,0,0.0,0
106,1.8,0.0073,-17.2,0.365,193,12.529964086141668,107,0,0.0,0
107,1.8,0.0073,-17.2,0.365,193,12.529964086141668,107,0,0.0,0
108,1.8,0.0073,-17.2,0.365,223,13.416407864998739,119,30,0.8864437788570712,12
109,1.8,0.0073,-17.2,0.365,235,13.416407864998739,119,12,0.0,0
110,1.8,0.0073,-17.2,0.365,235,13.416407864998739,119,0,0.0,0
111,1.8,0.0073,-17.2,0.365,247,13.416407864998739,117,12,0.0,-2
112,1.8,0.0073,-17.2,0.365,247,13.416407864998739,117,0,0.0,0
113,1.8,0.0073,-17.2,0.365,247,13.416407864998739,117,0,0.0,0
114,1.8,0.0073,-17.2,0.365,259,13.416407864998739,117,12,0.0,0
115,1.8,0.0073,-17.2,0.365,259,13.416407864998739,117,0,0.0,0
116,1.8,0.0073,-17.2,0.365,259,13.416407864998739,117,0,0.0,0
117,1.8,0.0073,-17.2,0.365,271,13.416407864998739,124,12,0.0,7
118,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,6,1.3484151952346615,5
119,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
120,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
121,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
122,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
123,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
124,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
125,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
126,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
127,1.8,0.0073,-17.2,0.365,277,14.7648230602334,129,0,0.0,0
128,1.8,0.0073,-17.2,0.365,295,15.652475842498529,141,18,0.8876527822651283,12
129,1.8,0.0073,-17.2,0.365,295,15.652475842498529,141,0,0.0,0
130,1.8,0.0073,-17.2,0.365,307,15.652475842498529,141,12,0.0,0
131,1.8,0.0073,-17.2,0.365,307,15.652475842498529,141,0,0.0,0
132,1.8,0.0073,-17.2,0.365,307,15.652475842498529,141,0,0.0,0
133,1.8,0.0073,-17.2,0.365,307,15.652475842498529,141,0,0.0,0
134,1.8,0.0073,-17.2,0.365,307,15.652475842498529,141,0,0.0,0
