Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,1.8,0.0037,-17.2,0.185,1,0.0,1,1,0.0,1
2,1.8,0.0037,-17.2,0.185,1,0.0,1,0,0.0,0
3,1.8,0.0037,-17.2,0.185,1,0.0,1,0,0.0,0
4,1.8,0.0037,-17.2,0.185,1,0.0,1,0,0.0,0
5,1.8,0.0037,-17.2,0.185,7,1.4142135623730951,6,6,1.4142135623730951,5
6,1.8,0.0037,-17.2,0.185,7,1.4142135623730951,6,0,0.0,0
7,1.8,0.0037,-17.2,0.185,7,1.4142135623730951,6,0,0.0,0
8,1.8,0.0037,-17.2,0.185,7,1.4142135623730951,6,0,0.0,0
9,1.8,0.0037,-17.2,0.185,7,1.4142135623730951,6,0,0.0,0
10,1.8,0.0037,-17.2,0.185,7,1.4142135623730951,6,0,0.0,0
11,1.8,0.0037,-17.2,0.185,7,1.4142135623730951,6,0,0.0,0
12,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,6,0.8218544151266947,5
13,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
14,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
15,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
16,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
17,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
18,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
19,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
20,1.8,0.0037,-17.2,0.185,13,2.23606797749979,11,0,0.0,0
21,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,6,1.3694832979641993,6
22,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
23,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
24,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
25,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
26,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
27,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
28,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
29,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
30,1.8,0.0037,-17.2,0.185,19,3.605551275463989,17,0,0.0,0
31,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,6,0.8665846795355905,6
32,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
33,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
34,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
35,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
36,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
37,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
38,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
39,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
40,1.8,0.0037,-17.2,0.185,25,4.47213595499958,23,0,0.0,0
41,1.8,0.0037,-17.2,0.185,31,5.830951894845301,29,6,1.3588159398457211,6
42,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,12,0.0,10
43,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
44,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
45,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
46,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
47,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
48,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
49,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
50,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
51,1.8,0.0037,-17.2,0.185,43,5.830951894845301,39,0,0.0,0
52,1.8,0.0037,-17.2,0.185,49,6.708203932499369,45,6,0.8772520376540687,6
53,1.8,0.0037,-17.2,0.185,49,6.708203932499369,45,0,0.0,0
54,1.8,0.0037,-17.2,0.185,61,6.708203932499369,51,12,0.0,6
55,1.8,0.0037,-17.2,0.185,61,6.708203932499369,51,0,0.0,0
56,1.8,0.0037,-17.2,0.185,61,6.708203932499369,51,0,0.0,0
57,1.8,0.0037,-17.2,0.185,61,6.708203932499369,51,0,0.0,0
58,1.8,0.0037,-17.2,0.185,61,6.708203932499369,51,0,0.0,0
59,1.8,0.0037,-17.2,0.185,61,6.708203932499369,51,0,0.0,0
60,1.8,0.0037,-17.2,0.185,61,6.708203932499369,51,0,0.0,0
61,1.8,0.0037,-17.2,0.185,73,6.708203932499369,58,12,0.0,7
62,1.8,0.0037,-17.2,0.185,73,6.708203932499369,58,0,0.0,0
63,1.8,0.0037,-17.2,0.185,79,8.06225774829855,63,6,1.3540538157991797,5
64,1.8,0.0037,-17.2,0.185,79,8.06225774829855,63,0,0.0,0
65,1.8,0.0037,-17.2,0.185,79,8.06225774829855,63,0,0.0,0
66,1.8,0.0037,-17.2,0.185,79,8.06225774829855,63,0,0.0,0
67,1.8,0.0037,-17.2,0.185,91,8.06225774829855,67,12,0.0,4
68,1.8,0.0037,-17.2,0.185,91,8.06225774829855,67,0,0.0,0
69,1.8,0.0037,-17.2,0.185,91,8.06225774829855,67,0,0.0,0
70,1.8,0.0037,-17.2,0.185,91,8.06225774829855,67,0,0.0,0
71,1.8,0.0037,-17.2,0.185,91,8.06225774829855,67,0,0.0,0
72,1.8,0.0037,-17.2,0.185,91,8.06225774829855,67,0,0.0,0
73,1.8,0.0037,-17.2,0.185,91,8.06225774829855,67,0,0.0,0
74,1.8,0.0037,-17.2,0.185,97,8.94427190999916,73,6,0.8820141617006101,6
75,1.8,0.0037,-17.2,0.185,97,8.94427190999916,73,0,0.0,0
76,1.8,0.0037,-17.2,0.185,97,8.94427190999916,73,0,0.0,0
77,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,12,0.0,6
78,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,0,0.0,0
79,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,0,0.0,0
80,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,0,0.0,0
81,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,0,0.0,0
82,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,0,0.0,0
83,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,0,0.0,0
84,1.8,0.0037,-17.2,0.185,109,8.94427190999916,79,0,0.0,0
85,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,18,1.3513582309878416,12
86,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
87,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
88,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
89,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
90,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
91,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
92,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
93,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
94,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
95,1.8,0.0037,-17.2,0.185,127,10.295630140987,91,0,0.0,0
96,1.8,0.0037,-17.2,0.185,133,11.180339887498949,97,6,0.8847097465119482,6
97,1.8,0.0037,-17.2,0.185,157,11.180339887498949,107,24,0.0,10
98,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,6,0.0,-12
99,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
100,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
101,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
102,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
103,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
104,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
105,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
106,1.8,0.0037,-17.2,0.185,163,11.180339887498949,95,0,0.0,0
107,1.8,0.0037,-17.2,0.185,169,12.529964086141668,101,6,1.3496241986427187,6
108,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,12,0.0,6
109,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
110,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
111,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
112,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
113,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
114,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
115,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
116,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
117,1.8,0.0037,-17.2,0.185,181,12.529964086141668,107,0,0.0,0
118,1.8,0.0037,-17.2,0.185,199,13.416407864998739,119,18,0.8864437788570712,12
119,1.8,0.0037,-17.2,0.185,199,13.416407864998739,119,0,0.0,0
120,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,12,0.0,4
121,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
122,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
123,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
124,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
125,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
126,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
127,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
128,1.8,0.0037,-17.2,0.185,211,13.416407864998739,123,0,0.0,0
129,1.8,0.0037,-17.2,0.185,217,14.7648230602334,129,6,1.3484151952346615,6
130,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,12,0.0,6
131,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
132,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
133,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
134,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
135,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
136,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
137,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
138,1.8,0.0037,-17.2,0.185,229,14.7648230602334,135,0,0.0,0
139,1.8,0.0037,-17.2,0.185,241,14.7648230602334,135,12,0.0,0
140,1.8,0.0037,-17.2,0.185,247,15.652475842498529,141,6,0.8876527822651283,6
141,1.8,0.0037,-17.2,0.185,259,15.652475842498529,147,12,0.0,6
142,1.8,0.0037,-17.2,0.185,259,15.652475842498529,147,0,0.0,0
143,1.8,0.0037,-17.2,0.185,259,15.652475842498529,147,0,0.0,0
144,1.8,0.0037,-17.2,0.185,259,15.652475842498529,147,0,0.0,0
145,1.8,0.0037,-17.2,0.185,271,15.652475842498529,147,12,0.0,0
146,1.8,0.0037,-17.2,0.185,271,15.652475842498529,147,0,0.0,0
147,1.8,0.0037,-17.2,0.185,271,15.652475842498529,147,0,0.0,0
148,1.8,0.0037,-17.2,0.185,271,15.652475842498529,147,0,0.0,0
149,1.8,0.0037,-17.2,0.185,283,15.652475842498529,147,12,0.0,0
150,1.8,0.0037,-17.2,0.185,283,15.652475842498529,147,0,0.0,0
151,1.8,0.0037,-17.2,0.185,301,17.0,159,18,1.3475241575014714,12
152,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
153,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
154,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
155,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
156,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
157,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
158,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
159,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
160,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
161,1.8,0.0037,-17.2,0.185,301,17.0,159,0,0.0,0
162,1.8,0.0037,-17.2,0.185,307,17.88854381999832,165,6,0.8885438199983184,6
163,1.8,0.0037,-17.2,0.185,319,17.88854381999832,171,12,0.0,6
164,1.8,0.0037,-17.2,0.185,319,17.88854381999832,171,0,0.0,0
165,1.8,0.0037,-17.2,0.185,331,17.88854381999832,167,12,0.0,-4
166,1.8,0.0037,-17.2,0.185,331,17.88854381999832,167,0,0.0,0
167,1.8,0.0037,-17.2,0.185,331,17.88854381999832,167,0,0.0,0
168,1.8,0.0037,-17.2,0.185,331,17.88854381999832,167,0,0.0,0
