Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,1.8,0.0019,-17.2,0.095,1,0.0,1,1,0.0,1
2,1.8,0.0019,-17.2,0.095,1,0.0,1,0,0.0,0
3,1.8,0.0019,-17.2,0.095,1,0.0,1,0,0.0,0
4,1.8,0.0019,-17.2,0.095,1,0.0,1,0,0.0,0
5,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,6,1.4142135623730951,5
6,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,0,0.0,0
7,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,0,0.0,0
8,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,0,0.0,0
9,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,0,0.0,0
10,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,0,0.0,0
11,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,0,0.0,0
12,1.8,0.0019,-17.2,0.095,7,1.4142135623730951,6,0,0.0,0
13,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,6,0.8218544151266947,5
14,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
15,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
16,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
17,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
18,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
19,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
20,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
21,1.8,0.0019,-17.2,0.095,13,2.23606797749979,11,0,0.0,0
22,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,6,1.3694832979641993,6
23,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
24,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
25,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
26,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
27,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
28,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
29,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
30,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
31,1.8,0.0019,-17.2,0.095,19,3.605551275463989,17,0,0.0,0
32,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,6,0.8665846795355905,6
33,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
34,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
35,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
36,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
37,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
38,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
39,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
40,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
41,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
42,1.8,0.0019,-17.2,0.095,25,4.47213595499958,23,0,0.0,0
43,1.8,0.0019,-17.2,0.095,31,5.830951894845301,29,6,1.3588159398457211,6
44,1.8,0.0019,-17.2,0.095,31,5.830951894845301,29,0,0.0,0
45,1.8,0.0019,-17.2,0.095,31,5.830951894845301,29,0,0.0,0
46,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,12,0.0,10
47,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,0,0.0,0
48,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,0,0.0,0
49,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,0,0.0,0
50,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,0,0.0,0
51,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,0,0.0,0
52,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,0,0.0,0
53,1.8,0.0019,-17.2,0.095,43,5.830951894845301,39,0,0.0,0
54,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,18,0.8772520376540687,12
55,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
56,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
57,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
58,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
59,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
60,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
61,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
62,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
63,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
64,1.8,0.0019,-17.2,0.095,61,6.708203932499369,51,0,0.0,0
65,1.8,0.0019,-17.2,0.095,67,8.06225774829855,57,6,1.3540538157991797,6
66,1.8,0.0019,-17.2,0.095,67,8.06225774829855,57,0,0.0,0
67,1.8,0.0019,-17.2,0.095,67,8.06225774829855,57,0,0.0,0
68,1.8,0.0019,-17.2,0.095,67,8.06225774829855,57,0,0.0,0
69,1.8,0.0019,-17.2,0.095,67,8.06225774829855,57,0,0.0,0
70,1.8,0.0019,-17.2,0.095,79,8.06225774829855,63,12,0.0,6
71,1.8,0.0019,-17.2,0.095,79,8.06225774829855,63,0,0.0,0
72,1.8,0.0019,-17.2,0.095,79,8.06225774829855,63,0,0.0,0
73,1.8,0.0019,-17.2,0.095,79,8.06225774829855,63,0,0.0,0
74,1.8,0.0019,-17.2,0.095,79,8.06225774829855,63,0,0.0,0
75,1.8,0.0019,-17.2,0.095,79,8.06225774829855,63,0,0.0,0
76,1.8,0.0019,-17.2,0.095,85,8.94427190999916,69,6,0.8820141617006101,6
77,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,12,0.0,6
78,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
79,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
80,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
81,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
82,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
83,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
84,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
85,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
86,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
87,1.8,0.0019,-17.2,0.095,97,8.94427190999916,75,0,0.0,0
88,1.8,0.0019,-17.2,0.095,103,10.295630140987,81,6,1.3513582309878416,6
89,1.8,0.0019,-17.2,0.095,103,10.295630140987,81,0,0.0,0
90,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,12,0.0,6
91,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,0,0.0,0
92,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,0,0.0,0
93,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,0,0.0,0
94,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,0,0.0,0
95,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,0,0.0,0
96,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,0,0.0,0
97,1.8,0.0019,-17.2,0.095,115,10.295630140987,87,0,0.0,0
98,1.8,0.0019,-17.2,0.095,127,10.295630140987,94,12,0.0,7
99,1.8,0.0019,-17.2,0.095,127,10.295630140987,94,0,0.0,0
100,1.8,0.0019,-17.2,0.095,133,11.180339887498949,99,6,0.8847097465119482,5
101,1.8,0.0019,-17.2,0.095,133,11.180339887498949,99,0,0.0,0
102,1.8,0.0019,-17.2,0.095,133,11.180339887498949,99,0,0.0,0
103,1.8,0.0019,-17.2,0.095,133,11.180339887498949,99,0,0.0,0
104,1.8,0.0019,-17.2,0.095,133,11.180339887498949,99,0,0.0,0
105,1.8,0.0019,-17.2,0.095,133,11.180339887498949,99,0,0.0,0
